linha,endereco,sku,produto_planilha,quantidade,produto_match,origem_match,score,revisar
69,A50,SABPESS500,START ONLY SABONETES 500ML,123,START ONLY SABONETE PESSEGO 500ML,catalogo,83.5,
70,A51,HIGBALRET,HIGIENITA BALDE RETRATIL,20,HIGIENITA BALDE RETRATIL 10L,catalogo,100,
71,A52,LPCLR5%5,LARILIMP CLORO LÍQUIDO 5L,61,LARILIMP CLORO LIQUIDO 5% 5L,catalogo,97.5,
72,A52,LPCLR12%5,LARILIMP CLORO LÍQUIDO 12% 5L,0,LARILIMP CLORO LIQUIDO 12% 5L,catalogo,100,
73,A52,LPLPALU5L,LARILIMP LIMPA ALUMÍNIO 5L,10,LARILIMP LIMPA ALUMINIO 5L,catalogo,100,
74,A53,,"VIGUT SABÃO LIQUIDO ERVA DOCE, COCO E DOVEX 5L",0,"VIGUT SABÃO LIQUIDO ERVA DOCE, COCO E DOVEX 5L",planilha,0,sim
75,A54,HIGMANBOR,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERI,0,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,100,
76,A55,"LPCLR2,5%5","LARILIMP CLORO LIQUIDO 2,5% 5L",505,"LARILIMP CLORO LIQUIDO 2,5% 5L",catalogo,100,
77,A56,,LARILIMP CLORO POWER 5L E VIGUT DESINFETANTES 5L,10,LARILIMP CLORO POWER 5L E VIGUT DESINFETANTES 5L,planilha,0,sim
78,A57,,PALETES,682,PALETES,planilha,0,sim
79,A58,LPMTUS5,LARILIMP MULTIUSO 5L,0,LARILIMP MULTIUSO 5L,catalogo,100,
80,A59,DSTALC5,VIGUT DESINFETANTES 5L,0,VIGUT DESINFETANTE TALCO  5L,catalogo,79.0,
81,A60,,PALETES,0,PALETES,planilha,0,sim
83,B01,PED5L,START PEDREX 5L,682,START PEDREX 5L,catalogo,100,
84,B02,PED5L,START PEDREX 5L,0,START PEDREX 5L,catalogo,100,
85,B03,,CRISTAL COPO 180ML PP,205,CRISTAL COPO 180ML PP,planilha,0,sim
86,B03,CXFCCP180,FAÇA FACIL COPO 180ML PS,682,FACA FACIL CAIXA COPO PS 180ML 100UN,catalogo,82.7,
87,B03,,FACILITA COPO 330ML,0,FACILITA COPO 330ML,planilha,0,sim
88,B04,PED5L,START PEDREX 5L,0,START PEDREX 5L,catalogo,100,
89,B05,PED5L,START PEDREX 5L,682,START PEDREX 5L,catalogo,100,
90,B06,CXCPM180BR,COPOMAIS COPO 180ML BRANCO,0,COPOMAIS CAIXA COPO PS 180ML BRANCO 100UN,catalogo,85.4,
91,B07,CERAUTBRI,START CERA AUTO BRILHO 5L,0,START CERA AUTO BRILHO 5L,catalogo,100,
92,B08,CERAUTBRI,START CERA AUTO BRILHO 5L,79,START CERA AUTO BRILHO 5L,catalogo,100,
93,A09,TBSF330,CRISTAL COPO TAMPA BOLHA SEM FURO 330ML,44,CRISTAL COPO TAMPA BOLHA 50UN SEM FURO PARA COPO 330ML,catalogo,89.5,
94,A09,GTPCF440,GALVANOTEK TAMPA BOLHA SEM FURO 440ML,17,GALVANOTEK TAMPA BOLHA COM FURO COPO 440/550ML,catalogo,78.2,
95,B10,CERAUTBRI,START CERA AUTO BRILHO 5L,38,START CERA AUTO BRILHO 5L,catalogo,100,
96,B11,CERAUTBRI,START CERA AUTO BRILHO 5L,22,START CERA AUTO BRILHO 5L,catalogo,100,
97,B12,ANTIMOF1KG,QUIMIVIDA ANTI-MOFO 1KG,0,QUIMIVIDA ANTI-MOFO 1KG,catalogo,100,
98,B13,STARTGR5L,START GRILL 5L,1,START GRILL 5L,catalogo,100,
99,B13,PUSTRGRL5L,START PRO LIMPA CHAPAS E GRELHAS 5L,89,START PRO LIMPA CHAPAS E GRELHAS5L,catalogo,89.1,
100,B14,ASPTGEL5L,"START ASSEPTGEL ÁLCOOL GEL 4,3KG",134,"START ASSEPTGEL ALCOOL GEL 70% 4,3KG (5L)",catalogo,94.4,
101,B15,,GALVANOTEK CAIXAS DE BOLO,0,GALVANOTEK CAIXAS DE BOLO,planilha,0,sim
102,B16,ASACLIQ5L,START ASSEPTGEL ÁLCOOL LÍQUIDO 5L,44,START ASSEPTGEL ALCOOL LIQUIDO 70% 5L,catalogo,97.2,
103,B17,,START TUFF PASSA FÁCIL 500ML,20,START TUFF PASSA FÁCIL 500ML,planilha,0,sim
104,B18,HIGBALRET,HIGIENITA BALDE RETRATIL,0,HIGIENITA BALDE RETRATIL 10L,catalogo,100,
105,B19,CP30005L,START CP3000 5L,0,START CP3000 5L,catalogo,100,
106,B20,GEL70VALV,START ASSEPTGEL GEL VALVULA 420G,0,START ASSEPTGEL ALCOOL GEL 70% COM VALVULA 420G,catalogo,88.3,
107,B21,,GALVANOTEK CAIXAS DE BOLO,52,GALVANOTEK CAIXAS DE BOLO,planilha,0,sim
108,B22,CERAACR5L,START CERA ACRÍLICA 5L,51,START CERA ACRILICA 5L,catalogo,100,
109,B23,CERAACR2L,START CERA ACRÍLICA 2L,98,START CERA ACRILICA 2L,catalogo,100,
110,B24,,GALVANOTEK CAIXAS DE BOLO,11,GALVANOTEK CAIXAS DE BOLO,planilha,0,sim
111,B25,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,0,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
112,B26,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,0,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
113,B27,PRET5L,START PRETITA 5L CERA LIQUIDA,20,START PRETITA 5L,catalogo,75.2,sim
114,B28,,START MAXIMOON ALCALINO 2L,251,START MAXIMOON ALCALINO 2L,planilha,0,sim
115,B28,MAXILAV2L,START MAXIMOON LAVANDA 2L,0,START MAXIMOOM LAVANDA 2L,catalogo,88.7,
116,B28,MAXIBAC2L,START MAXIMOON BACTERICIDA 2L,0,START MAXIMOOM BACTERICIDA 2L,catalogo,89.0,
117,B28,MAXIBAC5L,START MAXIMOON BACTERICIDA 5L,745,START MAXIMOOM BACTERICIDA 5L,catalogo,89.0,
118,B29,,YPE DETERGENTES 500ML E SUPREMA DETERGENTES 500ML,0,YPE DETERGENTES 500ML E SUPREMA DETERGENTES 500ML,planilha,0,sim
119,B30,BTBR80X40,BOBINA TERMICA,0,BOBINA TERMICA BRANCA 80X40,catalogo,87.4,
120,B31,STFT5L,START FLOTADOR 5L,0,START AZULIM FLOTADOR 5L,catalogo,88.9,
121,B31,ARGDET5L,START ARGUS DETERGENTE 5L,0,START ARGUS DETERGENTE CONCENTRADO 5L,catalogo,87.4,
122,B31,MAXLAV5,START MAXIMOON LAVANDA 5L,0,START MAXIMOOM LAVANDA 5L,catalogo,88.7,
123,B31,,START ACABAMENTO ACRILICO 5L,0,START ACABAMENTO ACRILICO 5L,planilha,0,sim
124,B31,TFAZL5L,START TIRA FERRUGEM 5L,0,START AZULIM TIRA FERRUGEM 5L,catalogo,91.1,
125,B31,SELMAST5L,START SELADOR MASTER 5L,472,START SELADOR MASTER 5L,catalogo,100,
126,B32,FRBLUE52,START ASSEPTGEL GEL 52G,472,START ASSEPTGEL FRESH BLUE 52G,catalogo,80.2,
127,B32,LIMPALUM,START LIMPA ALUMINIO 500ML,0,START LIMPA ALUMINIO 500ML,catalogo,100,
128,B32,AZREMCER1L,START REMOVEDOR DE CERAS 1L,100,START AZULIM REMOVEDOR DE CERA 1L,catalogo,84.3,
129,B33,STARTGR1L,START GRILL 1L,150,START GRILL 1L,catalogo,100,
130,B33,LPCHGRE1L,START LIMPA CHAPAS 1L,0,START LIMPA CHAPAS E GRELHAS 1L,catalogo,87.5,
131,B33,TFAZL1L,START TIRA FERRUGENS 1L,0,START AZULIM TIRA FERRUGEM 1L,catalogo,78.8,
132,B33,STDSPV,START DESENTUPIDOR DE PIAS E VASOS 1L,0,START DESENTUPIDOR PIAS E VASOS SANITARIOS 1L,catalogo,83.9,
133,B34,,CRISTAL COPO POTES REDONDOS,0,CRISTAL COPO POTES REDONDOS,planilha,0,sim
134,B35,PRETO100L,SACO DE LIXO PRETO 100L - 100UNI,292,SACO DE LIXO 100L PRETO 100UN,catalogo,82.0,
135,B36,PRETO60L,SACO DE LIXO PRETO 60L - 100UNI,0,SACO DE LIXO 60L PRETO 100UN,catalogo,83.9,
136,B37,,SACOS DE LIXO REFORÇADOS 100L/200L/300L,0,SACOS DE LIXO REFORÇADOS 100L/200L/300L,planilha,0,sim
137,B38,,SACOS DE LIXO COLORIDOS,0,SACOS DE LIXO COLORIDOS,planilha,0,sim
138,B39,PRETO60L,SACO DE LIXO 40L - 100UNI,150,SACO DE LIXO 60L PRETO 100UN,catalogo,74.5,sim
139,B40,PRETO60L,SACO DE LIXO 20L - 100UNI,83,SACO DE LIXO 60L PRETO 100UN,catalogo,74.5,sim
140,B41,VERDE100L,SACO DE LIXO VERDE 100L,8,SACO DE LIXO 100L VERDE RESISTENTE 100UN,catalogo,80.4,
141,B42,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,69,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
143,C01,MADBRIL1L,W&W CERA BRILHANTE MADEIRA 1L,73,W&W CERA BRILHANTE PARA MADEIRA 1L,catalogo,94.8,
144,C02,MADBRIL5L,W&W CERA BRILHANTE MADEIRA 5L,110,W&W CERA BRILHANTE PARA MADEIRA 5L,catalogo,94.8,
145,C03,,"BETANIN DISCO DE FIBRA VERDE, BRANCO E PRETO",0,"BETANIN DISCO DE FIBRA VERDE, BRANCO E PRETO",planilha,0,sim
146,C04,LPMAD1L,W&W LIMPADOR MADEIRA 1L,3,W&W LIMPADOR CONCENTRADO MADEIRA 1L,catalogo,86.6,
147,C05,LIMPFACIL5L,W&W LIMPA FACIL 5L,130,W&W LIMPA FACIL CONCENTRADO 5L,catalogo,83.8,
148,C05,LPMAD5L,W&W LIMPADOR MADEIRA 5L,95,W&W LIMPADOR MADEIRA CONCENTRADO  5L,catalogo,86.6,
149,C05,REMMAD5L,W&W REMOVEDOR DE MADEIRA CONCENTRADO 5L,5,W&W REMOVEDOR DE CERAS PISO MADEIRA CONCENTRADO 5 L,catalogo,85.5,
150,C05,LPPEDRA5L,W&W LIMPA PEDRAS 5L,12,W&W LIMPA PEDRA 5L,catalogo,89.5,
151,C05,REMLAMVIN5L,W&W CERA LAMINADOS E VINILICOS 5L,93,W&W REMOVEDOR DE CERA LAMINADOS E VINILICOS 5L,catalogo,89.3,
152,C06,CXCPM180BR,COPOMAIS COPO BRANCO 180ML,76,COPOMAIS CAIXA COPO PS 180ML BRANCO 100UN,catalogo,79.6,
153,C07,REMMAD5L,W&W REMOVEDOR DE CERAS DE MADEIRA 1L,0,W&W REMOVEDOR DE CERAS PISO MADEIRA CONCENTRADO 5 L,catalogo,78.5,
154,C08,IMPAWW,W&W IMPERMEABILIZANTE DE MADEIRA PLASTICA 1L,38,W&W IMPERMEABILIZANTE MADEIRA PLASTICA ACETINADO 1L,catalogo,85.3,
155,C08,ACETMAD1L,W&W CERA ACETINADA DE MADEIRA 1L,0,W&W CERA ACETINADA MADEIRA 1L,catalogo,91.0,
156,C08,FOSCMAD1L,W&W CERA FOSCA DE MADEIRA 1L,7,W&W CERA FOSCA MADEIRA 1L,catalogo,90.5,
157,C08,REMFRIO5L,W&W REMOVEDOR DE CERA PISO FRIO 5L,4,W&W REMOVEDOR DE CERA PISO FRIO 5L,catalogo,100,
158,C09,,BETANIN ESFREBOM,7,BETANIN ESFREBOM,planilha,0,sim
159,C09,,BETANIN ESPONJA SOLUTION,63,BETANIN ESPONJA SOLUTION,planilha,0,sim
160,C09,,BETANIN FIBRAÇO PRETO,10,BETANIN FIBRAÇO PRETO,planilha,0,sim
161,C10,LAMVINBRIL,W&W CERA LAMINADOS E VINILICOS 1L,10,W&W CERA BRILHANTE LAMINADOS E VINILICOS 1L,catalogo,91.4,
162,C11,REMLAMVIN1L,W&W REMOVEDOR DE CERAS LAMINADOS E VINILICOS 1L,0,W&W REMOVEDOR DE CERA PISO LAMINADOS E VINILICOS 1L,catalogo,93.0,
163,C12,COPO770ML,CRISTALCOPO COPO PP 770ML,0,CRISTALCOPO COPO PP 770ML 30UN,catalogo,100,
164,C13,LPLAMVIN1L,W&W LIMPADOR LAMINADOS E VINILICOS 1L,342,W&W LIMPADOR LAMINADOS E VINILICOS 1L,catalogo,100,
165,C14,SODA1KG,INDAIÁ SODA 1G,450,INDAIA SODA 1KG,catalogo,86.1,
166,C15,,BETANIN FIBRA BRANCA E FIBRA VERDE,30,BETANIN FIBRA BRANCA E FIBRA VERDE,planilha,0,sim
167,C16,LIMPREJ1L,W&W LIMPA REJUNTES 1L,60,W&W LIMPA REJUNTE CONCENTRADO 1L,catalogo,75.3,sim
168,C16,,W&W BELLI WOOD E BELLI STONE,25,W&W BELLI WOOD E BELLI STONE,planilha,0,sim
169,C16,LPPEDRA1L,W&W LIMPA PEDRAS 1L,100,W&W LIMPA PEDRA 1L,catalogo,89.5,
