endereco,sku,produto,quantidade
C01,MADBRIL1L,W&W CERA BRILHANTE MADEIRA 1L,73
C02,MADBRIL5L,W&W CERA BRILHANTE MADEIRA 5L,110
C03,,"BETANIN DISCO DE FIBRA VERDE, BRANCO E PRETO",0
C04,LPMAD1L,W&W LIMPADOR MADEIRA 1L,3
C05,LIMPFACIL5L,W&W LIMPA FACIL 5L,130
C05,LPMAD5L,W&W LIMPADOR MADEIRA 5L,95
C05,REMMAD5L,W&W REMOVEDOR DE MADEIRA CONCENTRADO 5L,5
C05,LPPEDRA5L,W&W LIMPA PEDRAS 5L,12
C05,REMLAMVIN5L,W&W CERA LAMINADOS E VINILICOS 5L,93
C06,CXCPM180BR,COPOMAIS COPO BRANCO 180ML,76
C07,REMMAD5L,W&W REMOVEDOR DE CERAS DE MADEIRA 1L,0
C08,IMPAWW,W&W IMPERMEABILIZANTE DE MADEIRA PLASTICA 1L,38
C08,ACETMAD1L,W&W CERA ACETINADA DE MADEIRA 1L,0
C08,FOSCMAD1L,W&W CERA FOSCA DE MADEIRA 1L,7
C08,REMFRIO5L,W&W REMOVEDOR DE CERA PISO FRIO 5L,4
C09,,BETANIN ESFREBOM,7
C09,,BETANIN ESPONJA SOLUTION,63
C09,,BETANIN FIBRAÇO PRETO,10
C10,LAMVINBRIL,W&W CERA LAMINADOS E VINILICOS 1L,10
C11,REMLAMVIN1L,W&W REMOVEDOR DE CERAS LAMINADOS E VINILICOS 1L,0
C12,COPO770ML,CRISTALCOPO COPO PP 770ML,0
C13,LPLAMVIN1L,W&W LIMPADOR LAMINADOS E VINILICOS 1L,342
C14,SODA1KG,INDAIÁ SODA 1G,450
C15,,BETANIN FIBRA BRANCA E FIBRA VERDE,30
C16,LIMPREJ1L,W&W LIMPA REJUNTES 1L,60
C16,,W&W BELLI WOOD E BELLI STONE,25
C16,LPPEDRA1L,W&W LIMPA PEDRAS 1L,100
C16,ACETLV1L,W&W CERA ACETINADA LAMINADOS E VINILICOS 1L,299
C16,POSOBRA1L,W&W LIMPADOR PÓS OBRA,290
C17,REMFRIO1L,W&W REMOVEDOR DE CERAS PISO FRIO 1L,290
C18,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,25
C19,WWLIMPPC,W&W LIMPA PORCELANATO 1L,20
C19,CERFRBRIL1L,W&W CERA PISO FRIO BRILHANTE 1L,840
C19,FRIOACET1L,W&W CERA ACETINADA PISO FRIO 1L,17
C19,LIMPFACIL1L,W&W LIMPA FACIL 1L,106
C20,FRPET5L,START LIMPA CANIL FREE PET 5L,25
C20,FRPET2L,START LIMPA CANIL FREE PET 2L,300
C21,,EMBALIXO LAVANDA,0
C22,ANTMOF,W&W ANTI-MOFO 1L,40
C22,RMMDPL,W&W REMOVEDOR DE CERAS E SUJEIRAS MADEIRA PLASTICA 1L,840
C22,SELAIMPE1L,W&W SELADOR IMPERMEABILIZANTE 1L,247
C22,TIRAMOFO,W&W LIMPA MOFO 1L,240
C22,SPRAYREJ,W&W LIMPA REJUNTES SPRAY 500ML,535
C23,MAGICO2L,START MÁGICO 2L,0
C24,,EMBALIXO CITRUS,78
C25,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,446
C26,HIGBORAUT,"HIGIENITA BORRIFADOR AUTOMÁTICO 1,5L",0
C27,MPLGRF,FLASHLIMP MOP LIMPEZA GERAL E REFIL,0
C28,,"FLASHLIMP SACO PARA LAVAR ROUPA P, M e G",0
C28,SCLPMQ,FLASHLIMP SACHE LIMPA MAQUINA,47
C29,,FLASHLIMP PAPABOLINHAS PRO E PORTÁTIL,50
C29,,FLASHLIMP MINIVARAL PARA CALÇADOS,68
C29,PRENDEMB,FLASHLIMP PRENDEDOR DE EMBALAGENS,40
C30,,HIGIENITA PASTILHA LIMPA MAQUINAS,84
C31,MOPCHELI,FLASHLIMP MOP CHENILE,72
C31,ESPOJMG,FLASHLIMP ESPONJA MAGICA,0
C32,FLAROLDESC,FLASHLIMP ROLO ADESIVO PLUS,0
C32,FLAROLDESC,"FLASHLIMP ROLO ADESIVO PLUS, LAVAVEL E 30 FOLHAS",62
C33,CABOMOP,FLASHLIMP CABO PARA MOP GIRATÓRIO,76
C33,MPGRRF,FLASHLIMP REFIL MOP GIRATÓRIO,14
C34,HIGBORAUT,"HIGIENITA BORRIFADOR AUTOMÁTICO 1,5L",36
C35,EASYBQ2,SPARTAN EASYFRESH BOUQUET 1L,6
C36,FINISHBOUQ5L,SPARTAN FINISHERFRESH BOUQUET E FLORAL 5L,68
C37,BOWCLE,SPARTAN BOWN CLEANSE 1L,30
C37,FINISHBOUQ1L,SPARTAN FINISHERFRESH BOUQUET 1L,22
C38,HIGBALRET,HIGIENITA BALDE RETRATIL,0
C39,FINISHFLOR1L,SPARTAN EASYFRESH FLORAL 1L,18
C40,EASYBQ2,SPARTAN EASYFRESH BOUQUET 2L,29
C41,FINISHBOUQ1L,SPARTAN FINISHERFRESH SUMMER 1l,94
C41,FINISHFLOR1L,SPARTAN FINISHERFRESH FLORAL 1L,82
C41,,SPARTAN BRASSPOLISH 1L,0
C41,YELOW5L,SPARTAN YELLOW PINE 5L,288
C41,,"SPARTAN SPRAYS CASCAS E FOLHAS, CHÁ BRANCO, MAÇA E CANELA E POLIDOR DE METAIS",4
D01,FLOORCL5L,SEVENGEL FLOOR CLEAN 5L,0
D02,,"START GEL LIMPADOR LAVANDA, MARINER, ERVA DOCE E FLORAL",42
D03,,EMBALIXO CITRUS,139
D04,LIMPCANIL5L,SEVENGEL LIMPA CANIL 5L,2
D05,LIMPGRE,START FLOTADOR 500ML E LIMPA GRELHAS 500ML,0
D06,,EMBALIXO BRANCO,30
D07,GRILL5L,SEVENGEL GRILL 5L,14
D07,STONE1L,SEVENGEL STONE LIMPA PEDRAS 1L E 5L,0
D07,MAGIC1L,SEVENGEL MAGIC 3 EM 1 1L E 5L,4
D07,LPCANIL2L,SEVENGEL LIMPA CANIL 2L,124
D07,,SEVENGEL LIMPA ESTOFADOS E PROTETOR DE VIDROS 500ML,0
D08,,"START MULTIUSO LIMÃO, LARANJA E BACTERICIDA",60
D09,HIGBALRET,HIGIENITA BALDE RETRATIL,11
D10,FLOORCL1L,SEVENGEL FLOOR CLEAN 1L,112
D10,GRILL1L,SEVENGEL GRILL 1L,22
D10,CLEARON1L,SEVENGEL CLEARON 1L,137
D11,,START MULTIUSO TIRA LIMO E C/ÁLCOOL,31
D11,,START MULTIUSO LIMPA VIDROS E KIT COZINHA,0
D12,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,97
D13,LIMPCANIL5L,SEVENGEL LIMPA CANIL 5L,170
D14,,"START MULTIUSO CITRONELA, ORIGINAL E FLORATA",215
D15,,CRISTALCOPO POTES RETANGULARES,4
D16,PED2L,START PEDREX 2L,0
D16,AZCLG1L,START CLORO EM GEL 1L,0
D16,AZSPTRLM,START TIRA LIMO SPRAY 500ML,52
D17,,START LIMPA PORCELANATO LAVANDA E CITRUS 750ML,24
D17,LPLAM750ML,START LIMPA LAMINADOS 750ML,264
D18,,PARANA PRENDEDORES MADEIRA E EMBORRACHADO,1
D19,,START LIMPA VIDROS SPRAY E BRILHO INOX SPRAY,11
D20,ALT330,ALTACOPO COPO 330ML,8
D21,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,85
D22,,"PANO XADREZ, PANO BRANCO GRANDE E PEQUENO",19
D23,GTP330,GALVANOTEK TAMPA BOLHA SEM FURO 330ML,2
D24,,"MAZZO SABONETEIRA, CAI CAI, ROLÃO E INTERFOLHA",4
D25,EASYBQ2,SPARTAN EASYFRESH BOUQUET 1L,0
D26,,ULTRAFRESH TALCO E PURO AR CHÁ BRANCO,8
D27,,"AROMATIZADOR CHÁ BRANCO, LIMPA ESTOFADOS SPRAY, DESENGORDURANTE SPRAY E BRILHO INOX DOMLINE",48
D28,,"ULTRAFRESH LAVANDA, TALCO E PÉTALAS DE ROSA",73
D29,,"ULTRAFRESH MORANGO, PURO AR CAFE E PURO AR CRAVO E CANELA",332
D30,,"LIMPA AIRFRYER, LIMPA BOX CHÁ BRANCO E LIMPA GRELHA SPRAY",20
D31,TAU705L,TAUIPE ÁLCOOL LÍQUIDO 5L E GEL 5L,0
D32,,"TAUIPE ALCOOL EUCALIPTO, LAVANDA, CITRONELA E 92%",25
D33,HIGBALRET,HIGIENITA BALDE RETRATIL,16
D34,TALCLQ1L,ÁLCOOL LÍQUIDO 70% 1L,45
D35,TALCLQ1L,ÁLCOOL LÍQUIDO 70% 1L,27
D36,PCAMAR,AMARRILHO 1KG,0
E01,,BANCADA,110
E02,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,132
E03,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,109
E04,,BANCADA,112
E05,HIGBORAUT,"HIGIENITA BORRIFADOR AUTOMÁTICO 1,5L",0
E06,,HIGIENITA MOP GIRATÓRIO,108
E07,ASPTGEL5L,"START ASSEPTGEL ALCOOL GEL 4,3KG",16
E08,DSERV140,START DESINFETANTE ERVA DOCE 5L,3
E09,,HIGIENITA MOP GIRATORIO,12
E10,ASPTGEL5L,"START ASSEPTGEL ÁLCOOL GEL 4,3KG",69
E11,,START DESINFETANTE FLORATA 5L,89
E12,,HIGIENITA MOP GIRATORIO,104
E13,DESMARI5L,START DESINFETANTE MARINER 5L,0
E14,VGLV5,START DESINFETANTE LAVANDA 5L,237
E15,PCAMAR,AMARRILHO 1KG,4
E16,DESMARI5L,START DESINFETANTE MARINER 5L,7
E17,PPACLGR,PAPEL ACOPLADO JORGE GUERREIRO,8
E18,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,13
E19,DESMARI5L,START DESINFETANTE MARINER 5L,217
E20,,START STARTCLOR 1KG,183
E21,,HIGIENITA MOP GIRATORIO,110
E22,PCAMAR,AMARRILHO 1KG,136
E23,SEMPASSAR,START TUFF SEM PASSAR DESAMASSA FACIL 350ML,12
E24,,HIGIENITA MOP GIRATÓRIO,195
E25,,DEVOLUÇÃO,29
E26,,PALETES,0
E27,,PALETES,0
E28,,PALETES,20
E29,,PALETES,0
E30,,PALETES,92
E31,,PALETES,188
E32,,PALETES,11
E33,,PALETES,38
E34,,PALETES,142
